genes
L1cam
Grin3a
Grin2a
Scn1a
Kcnj3
Kcnj4
Kcnj6
Mmp17
Npy2r
Oprl1
Htr2a
Cx3cl1
Astn2
Grin2
Shank2
Lamp2
Gabbr1
Gabbr2
Creb3
Rapgef2
Fgfr1
Gabra1
L1cam
Syp
App
Grin2a
Oprl1
Syt11
Syt12
Slc7a1
Gabbr1
Gabbr2
Slc1a4
Lc1a6
Dag1
Icam5
Grm1
Neto1
Sort1
Grin1
Lamp1
Lamp2
Cacna1a
Cacna1b
Gabbra1
Astn1
Slit1
Slit2
Tppp3
Prca1
Bcl2
Shc1
Gadd45a
Cx3cr1
Pou3f2
Nr2e1
Foxp2
Fabp7
Sox11
Pou3f2
Brca1
Tgf
B1
Bcl2
Tnfsf12
Fgf1
Igf1
Adora2a
Tgfb1|1
Stk11
Nr2e1
Mobp
Brca1
Alf1
Tgfb1|1
Adora2a
Setd8
Syt1
Gabbr1
Gabbr2
Grin3a
Nrcam
Svt2a
Grin2a
Grm1
Grm7
Grin1
Nlgm1
Nlgm3
Shank2
Hdac4
Gria2
Syt1
L1cam
Rims1
Rims3
Rims4
Gabbrg2
Gabbr1
L1cam
Gabbr2
Grin3a
Rims1
Grin1
Grin2a
Shank2
Grm1
Gria2
Grm7
Sort1
Nlgn1
Shank2
Grin2a
Sema4f
L1cam
Celsr3
Amigo2
Nell1
Nell2
Cntn1
Cntn2
Cntn3
Astn1
Nlgn1
Nlgn3
Lamp1
Lamp2
Sort1
Clcn7
Grin3a
Grin1
Grm7
Grin2a
Kcnq
Kcnq3
Kcnq5
Kcng1
Cacna1a
Cacna1b
Cacna1c
Cacna1e
Sort1
Nr3c2
